database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	MN063A	MN063B	MN063C	CS063A	CS063B	CS063C	AM063A	AM063B	AM063C	MN073A	MN073B	MN073C	CS073A	CS073B	CS073C	AM073A	AM073B	AM073C	MN083A	MN083B	MN083C	CS083A	CS083B	CS083C	AM083A	AM083B	AM083C
unknown	C21H22O13			hexahydroxyflavanone-C-hexoside	481.3787144				6.169733713	NEWT:29760	Vitis vinifera (Grape)										757,705	487,457	317,058	439,613	541,876	434,457	310,651	53,892	77,981	180,842	252,376	282,768	434,411	61,434	93,185	69,170	90,342	296,199	168,190	648,876	826,213	241,540	249,466	140,358	262,132	338,061	194,810
CHEBI:30200|CHEBI:31742|CHEBI:75790|CHEBI:75791|CHEBI:75794|CHEBI:75795|CHEBI:75796|CHEBI:75797|CHEBI:75798|CHEBI:75802|CHEBI:75805	C21H20O11	OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O|OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(-c2ccc(O)cc2)c(O)c3=O)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O|OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(-c2ccc(O)cc2)c(O)c3=O)[C@H](O)[C@@H](O)[C@H]1O|OC[C@H]1O[C@@H](Oc2ccc(cc2)-c2oc3cc(O)cc(O)c3c(=O)c2O)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@H](O)[C@@H]1O|OC[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O|OC[C@@H](O)[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@H]1O|OC[C@H]1O[C@@H](Oc2cc(O)cc3oc(-c4ccc(O)cc4)c(O)c(=O)c23)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@@H]1O[C@H](Oc2cc(O)cc3oc(-c4ccc(O)cc4)c(O)c(=O)c23)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15+,17+,18-,21+/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)30-10-5-11(24)14-12(6-10)31-20(18(28)16(14)26)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m0/s1|InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)30-10-5-11(24)14-12(6-10)31-20(18(28)16(14)26)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15+,17+,19-,21-/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)30-10-3-1-8(2-4-10)20-18(28)16(26)14-11(24)5-9(23)6-12(14)31-20/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17-,18-,21+/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21-/m0/s1|InChI=1S/C21H20O11/c22-7-12(26)19-16(28)17(29)21(31-19)32-20-15(27)14-11(25)5-10(24)6-13(14)30-18(20)8-1-3-9(23)4-2-8/h1-6,12,16-17,19,21-26,28-29H,7H2/t12-,16-,17-,19-,21+/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)31-12-6-10(24)5-11-14(12)16(26)18(28)20(30-11)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m1/s1|InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)31-12-6-10(24)5-11-14(12)16(26)18(28)20(30-11)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m0/s1	kaempferol-O-hexoside	447.4677498				23.41441813	NEWT:29760	Vitis vinifera (Grape)										4,140,146	4,831,676	5,687,177	6,283,563	1,333,830	1,197,784	4,267,881	1,916,287	2,539,956	3,442,875	2,982,133	2,916,041	1,109,899	601,980	595,715	4,229,361	4,293,190	3,007,057	3,784,313	893,370	3,729,199	628,501	331,504	3,084,786	2,900,165	2,156,943	2,281,110
CHEBI:18152|unknown	C15H10O8	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O|	InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H|	myricetin|derivative	317.7254972				23.71285095	NEWT:29760	Vitis vinifera (Grape)										24,003	45,324	16,529	8,335	32,705	33,493	24,993	1,693	20,368	26,286	19,468	15,379	37,092	3,818	6,659	5,395	4,642	76,022	130,799	154,985	228,046	35,727	30,236	40,391	77,485	90,342	80,812
CHEBI:75806	C21H18O14			myricetin-O-glucuronide	492.8758189				15.46913152	NEWT:29760	Vitis vinifera (Grape)										36,726	35,005	29,040	38,916	31,235	51,926	32,989	13,077	12,145	87,046	33,524	43,911	62,416	45,564	42,045	45,995	45,068	86,068	48,337	66,981	72,855	49,632	45,475	38,968	85,825	61,664	40,716
CHEBI:75806|CHEBI:75815|CHEBI:75817	C21H18O14|C21H20O13|C21H20O13	|OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O|OC[C@@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O	|InChI=1S/C21H20O13/c22-5-12-15(28)17(30)18(31)21(33-12)34-20-16(29)13-8(24)3-7(23)4-11(13)32-19(20)6-1-9(25)14(27)10(26)2-6/h1-4,12,15,17-18,21-28,30-31H,5H2/t12-,15+,17+,18-,21+/m1/s1|InChI=1S/C21H20O13/c22-5-12-15(28)17(30)18(31)21(33-12)34-20-16(29)13-8(24)3-7(23)4-11(13)32-19(20)6-1-9(25)14(27)10(26)2-6/h1-4,12,15,17-18,21-28,30-31H,5H2/t12-,15+,17+,18-,21+/m0/s1	myricetin-O-hexoside	479.3199754				16.96189434	NEWT:29760	Vitis vinifera (Grape)										4,039,475	3,952,236	4,985,997	5,875,817	7,040,517	1,907,517	4,464,444	2,419,717	3,093,949	2,800,922	2,643,708	2,237,835	2,692,377	1,011,201	1,070,398	1,988,833	1,871,428	5,835,276	12,778,329	11,198,728	13,807,751	8,184,699	8,077,655	6,393,706	4,803,779	8,251,744	7,679,094
unknown	C22H22O13			pentahydroxy.monomethoxyflavone-O-hexoside	493.4750577				20.90219077	NEWT:29760	Vitis vinifera (Grape)										168,910	359,862	278,352	471,654	438,303	442,575	287,246	165,201	516,525	373,101	280,876	294,420	467,075	708,643	650,726	251,975	239,604	819,772	637,739	516,386	667,231	626,533	626,253	544,901	660,638	539,471	903,113
unknown	C21H20O12			pentahydroxyflavanone-C-hexoside	465.0463647				12.12564215	NEWT:29760	Vitis vinifera (Grape)										458,360	411,299	127,610	615,974	780,808	1,068,704	356,494	460,612	388,231	291,267	167,081	209,157	1,064,895	208,999	234,758	111,572	151,599	207,081	297,062	981,919	388,720	836,559	674,437	328,401	112,075	560,243	492,383
unknown	C21H20O12			pentahydroxyflavanone-O-hexoside	465.4551479				6.354909493	NEWT:29760	Vitis vinifera (Grape)										380,764	98,364	109,724	295,016	344,013	139,327	227,172	186,500	182,528	45,792	92,392	86,051	145,106	64,817	41,486	116,855	88,086	187,160	561,062	556,021	558,113	370,075	372,415	381,709	232,302	353,212	357,599
unknown	C22H22O13			pentahydroxy-monomethoxyflavone-C-hexoside	495.5649156				13.72865026	NEWT:29760	Vitis vinifera (Grape)										725,836	524,367	244,163	328,509	246,539	271,959	271,403	71,650	94,564	37,478	81,115	146,475	268,003	86,131	47,154	29,980	41,752	384,539	1,235,797	1,232,796	1,795,043	336,296	386,535	219,206	348,111	578,209	386,347
unknown	C22H22O11			putative trihydroxy-monomethoxyflavone-C-hexoside	463.0526816				17.06285386	NEWT:29760	Vitis vinifera (Grape)										794,355	489,303	175,985	406,567	725,404	1,134,437	298,327	111,358	130,515	4,981,664	825,708	4,259,219	1,011,664	4,681,281	3,584,753	3,410,031	3,573,250	796,674	669,530	958,192	731,211	724,797	1,061,594	396,506	1,032,344	551,773	457,540
CHEBI:66395	C21H18O13	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)/t14-,15-,16+,19-,21+/m0/s1	quercetin glucuronide	477.2462522				19.97202434	NEWT:29760	Vitis vinifera (Grape)										2,756,709	5,770,093	6,845,538	5,973,071	4,407,788	4,662,343	7,068,613	5,535,321	5,821,467	9,514,274	7,858,008	8,336,083	4,567,125	2,894,972	2,758,294	8,218,413	7,718,128	8,847,454	11,534,438	6,821,414	10,488,663	3,509,743	3,669,241	7,107,077	8,793,695	8,171,141	5,351,082
CHEBI:17558|CHEBI:75859|CHEBI:75863|CHEBI:75886|CHEBI:75893|CHEBI:76041|CHEBI:76060	C21H20O11	C[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O|C[C@@H](O)[C@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@@H](O)[C@H]1O|C[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O|C[C@@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O|C[C@H](O)[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H]1O|C[C@H](O)[C@@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H]1O|C[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1|InChI=1S/C21H20O11/c1-7(22)18-16(28)17(29)21(31-18)32-20-15(27)14-12(26)5-9(23)6-13(14)30-19(20)8-2-3-10(24)11(25)4-8/h2-7,16-18,21-26,28-29H,1H3/t7-,16-,17+,18-,21-/m1/s1|InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15+,17+,18-,21-/m0/s1|InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15+,17+,18-,21+/m0/s1|InChI=1S/C21H20O11/c1-7(22)18-16(28)17(29)21(31-18)32-20-15(27)14-12(26)5-9(23)6-13(14)30-19(20)8-2-3-10(24)11(25)4-8/h2-7,16-18,21-26,28-29H,1H3/t7-,16-,17+,18-,21-/m0/s1|InChI=1S/C21H20O11/c1-7(22)18-16(28)17(29)21(31-18)32-20-15(27)14-12(26)5-9(23)6-13(14)30-19(20)8-2-3-10(24)11(25)4-8/h2-7,16-18,21-26,28-29H,1H3/t7-,16-,17+,18-,21+/m0/s1|InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15+,17+,18-,21+/m1/s1	quercetin-3-O-deoxyhexoside	447.7545929				22.15891555	NEWT:29760	Vitis vinifera (Grape)										308,439	1,194,366	1,261,919	63,626	94,158	130,733	863,944	233,059	476,399	928,989	657,878	643,265	119,545	27,854	38,750	844,657	1,011,748	624,388	4,554,191	155,123	573,933	362,068	976,313	651,797	615,349	205,580	462,635
CHEBI:68352	C21H20O12	OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1	quercetin-3-O-glucoside	463.4273235				20.24787183	NEWT:29760	Vitis vinifera (Grape)										5,106,162	9,436,577	11,084,902	11,672,203	6,030,780	6,454,204	10,175,769	6,808,419	6,663,980	13,338,445	10,109,714	10,631,964	6,515,406	5,064,650	4,678,324	14,122,171	13,898,974	12,261,531	12,301,344	7,018,297	13,609,947	5,620,763	5,400,923	10,881,544	12,495,690	11,236,660	8,104,804
unknown	C21H20O10			quercetin-O-pentoside	431.8999285				20.66634045	NEWT:29760	Vitis vinifera (Grape)										11,630	28,248	31,013	38,900	49,532	16,857	21,255	11,177	23,862	6,540	17,797	10,071	15,753	11,180	17,149	40,895	28,936	7,547	31,562	39,398	45,252	34,535	53,372	35,817	16,852	10,833	14,710
unknown	C22H22O14			tetrahydroxy-di methoxyflavanone-C-glucoside	509.3551895				17.81438573	NEWT:29760	Vitis vinifera (Grape)										8,032,290	7,162,348	6,376,424	6,143,961	6,502,611	5,056,520	5,930,591	3,562,335	4,032,040	6,243,301	5,375,669	6,865,757	5,512,493	6,342,310	5,076,095	4,661,828	2,398,932	7,696,002	15,357,012	13,681,938	14,909,721	9,382,334	7,137,627	6,978,023	8,956,996	10,459,350	8,228,366
unknown	C22H22O13			tetrahydroxy-di methoxyflavanone-O-glucoside	493.0992987				17.69402594	NEWT:29760	Vitis vinifera (Grape)										640,063	189,232	279,198	557,629	385,244	370,774	321,584	515,940	417,456	8,995,460	2,248,475	3,588,586	2,719,440	2,378,235	3,653,765	1,813,537	2,691,883	2,463,664	1,106,436	449,769	1,058,440	938,535	896,677	1,147,940	1,072,079	666,216	759,061
unknown	C21H24O10			tetrahydroxy-dihydrochalcone-O-hexoside	435.7476032				25.43406035	NEWT:29760	Vitis vinifera (Grape)										179,648	58,317	33,142	448,930	399,932	103,346	146,565	286,222	310,316	55,832	40,935	64,961	121,411	52,570	40,921	49,783	41,473	169,948	597,125	915,342	431,018	765,757	757,396	1,148,297	197,320	1,051,792	462,997
unknown	C20H18O11			tetrahydroxyflavanone-C-deoxyhexoside	433.9801008				23.20240847	NEWT:29760	Vitis vinifera (Grape)										1,731,371	1,298,644	1,501,507	1,350,624	2,877,499	2,066,950	2,022,114	1,551,237	1,848,497	1,420,399	960,790	908,553	2,084,048	1,029,920	825,527	1,356,897	1,033,517	2,670,185	3,857,481	2,790,513	2,807,558	2,637,076	2,656,066	2,075,746	2,876,791	3,330,892	1,782,493
unknown	C22H22O12			tetrahydroxy-monomethoxyflavanone-C-hexoside	478.9600255				16.034482	NEWT:29760	Vitis vinifera (Grape)										1,084,635	1,434,095	934,067	669,867	1,707,373	1,986,104	172,601	389,901	507,509	851,575	851,327	611,610	285,553	1,205,111	750,607	368,724	604,915	4,298,713	11,729,464	522,742	579,684	228,459	326,286	570,153	4,653,584	8,239,657	967,096
unknown	C22H22O13			tetrahydroxy-monomethoxyflavone-C-hexoside	495.2537989				15.64354702	NEWT:29760	Vitis vinifera (Grape)										663,734	548,587	575,337	538,282	570,503	433,870	412,144	329,082	368,735	747,053	523,251	531,265	451,074	306,089	277,710	276,771	316,259	642,597	860,985	958,485	1,180,333	520,707	504,611	621,042	651,131	665,513	617,275
unknown|unknown	C21H22O11			tetrhydroxyflavanone-O-hexoside|dihydrokaempferol-O-hexoside	449.7346033				12.62281292	NEWT:29760	Vitis vinifera (Grape)										39,699	77,501	53,114	32,367	65,658	113,627	126,844	62,429	95,192	174,578	116,632	103,086	129,070	89,062	101,120	119,536	129,047	146,491	87,832	89,602	97,614	75,522	72,613	109,483	141,740	92,074	94,180
unknown	C22H22O14			trihydroxy-dimethoxyflavanone-C-hexoside	511.3637624				13.72145356	NEWT:29760	Vitis vinifera (Grape)										576,089	170,028	274,422	172,431	388,273	190,605	369,950	363,893	380,626	198,268	306,516	356,145	227,385	598,442	447,903	384,477	289,647	671,001	819,346	676,679	504,539	1,058,163	1,155,018	614,895	721,583	944,729	553,533
unknown	C21H20O11			trihydroxyflavone-O-pentoside	447.8492325				13.2550664	NEWT:29760	Vitis vinifera (Grape)										427,047	308,424	201,472	374,127	392,430	266,638	683,516	906,803	836,245	9,013	45,191	48,582	260,355	38,591	22,069	20,036	31,931	234,305	7,470,249	420,193	215,760	2,795,097	2,768,036	608,198	235,971	735,553	465,231
CHEBI:76075|CHEBI:76082	C13H12O9	O[C@H]([C@H](OC(=O)C=Cc1ccc(O)c(O)c1)C(O)=O)C(O)=O|O[C@H]([C@H](OC(=O)C=C/c1ccc(O)c(O)c1)C(O)=O)C(O)=O	InChI=1S/C13H12O9/c14-7-3-1-6(5-8(7)15)2-4-9(16)22-11(13(20)21)10(17)12(18)19/h1-5,10-11,14-15,17H,(H,18,19)(H,20,21)/b4-2+/t10-,11+/m1/s1|InChI=1S/C13H12O9/c14-7-3-1-6(5-8(7)15)2-4-9(16)22-11(13(20)21)10(17)12(18)19/h1-5,10-11,14-15,17H,(H,18,19)(H,20,21)/b4-2-/t10-,11+/m1/s1	caffeoyl tartaric acid	311.300316				5.191192674	NEWT:29760	Vitis vinifera (Grape)										6,856,324	1,540,773	1,170,888	6,191,147	4,263,666	7,852,480	8,145,919	6,954,787	7,295,954	5,948,154	4,741,829	4,821,924	7,771,000	4,003,509	4,256,146	7,554,116	6,033,291	11,456,022	14,192,432	12,743,124	11,160,639	12,085,485	11,866,543	9,575,338	10,872,253	13,856,815	9,880,515
unknown				caffeoyl-hexose-pentose	644.9966309				5.403818802	NEWT:29760	Vitis vinifera (Grape)										359,500	55,284	27,416	600,385	390,509	608,507	629,470	322,930	620,371	1,484,804	826,638	700,493	565,046	738,637	772,709	1,148,496	1,101,511	738,007	529,207	622,405	539,010	713,055	611,629	618,960	672,117	700,339	645,665
CHEBI:76095|CHEBI:76096	C13H12O8	O[C@H]([C@H](OC(=O)C=Cc1ccc(O)cc1)C(O)=O)C(O)=O|O[C@H]([C@H](OC(=O)C=C/c1ccc(O)cc1)C(O)=O)C(O)=O	InChI=1S/C13H12O8/c14-8-4-1-7(2-5-8)3-6-9(15)21-11(13(19)20)10(16)12(17)18/h1-6,10-11,14,16H,(H,17,18)(H,19,20)/b6-3+/t10-,11+/m1/s1|InChI=1S/C13H12O8/c14-8-4-1-7(2-5-8)3-6-9(15)21-11(13(19)20)10(16)12(17)18/h1-6,10-11,14,16H,(H,17,18)(H,19,20)/b6-3-/t10-,11+/m1/s1	coumaroyl tartaric acid	295.3890906				8.299003053	NEWT:29760	Vitis vinifera (Grape)										3,176,336	122,314	145,531	5,147,625	3,500,604	4,001,451	3,643,468	1,740,972	3,007,615	4,941,154	3,042,689	3,112,496	4,008,889	1,381,784	1,382,800	2,472,357	2,408,652	7,592,698	11,554,240	7,789,407	7,193,531	7,689,786	7,920,533	5,065,196	7,939,848	9,626,900	6,705,620
CHEBI:71498|CHEBI:76089|CHEBI:76092|CHEBI:76093|CHEBI:76094	C15H18O8	OC[C@H]1O[C@@H](OC(=O)C=Cc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O|O[C@@H]1O[C@H](COC(=O)C=Cc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O|O[C@H]1O[C@H](COC(=O)C=Cc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O|OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](OC(=O)C=C/c2ccc(O)cc2)[C@@H]1O|OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](OC(=O)C=Cc2ccc(O)cc2)[C@@H]1O	InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+/t10-,12-,13+,14-,15+/m1/s1|InChI=1S/C15H18O8/c16-9-4-1-8(2-5-9)3-6-11(17)22-7-10-12(18)13(19)14(20)15(21)23-10/h1-6,10,12-16,18-21H,7H2/b6-3+/t10-,12-,13+,14-,15-/m1/s1|InChI=1S/C15H18O8/c16-9-4-1-8(2-5-9)3-6-11(17)22-7-10-12(18)13(19)14(20)15(21)23-10/h1-6,10,12-16,18-21H,7H2/b6-3+/t10-,12-,13+,14-,15+/m1/s1|InChI=1S/C15H18O8/c16-7-10-12(19)14(13(20)15(21)22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3-/t10-,12-,13-,14+,15-/m1/s1|InChI=1S/C15H18O8/c16-7-10-12(19)14(13(20)15(21)22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+/t10-,12-,13-,14+,15-/m1/s1	coumaroyl-hexoside	325.4743995				8.632452867	NEWT:29760	Vitis vinifera (Grape)										61,950	120,035	117,870	115,740	77,337	149,643	151,338	88,645	143,504	349,718	234,707	246,985	114,644	133,383	109,028	183,354	121,712	149,064	106,855	108,968	154,881	92,908	71,172	145,385	126,078	170,243	128,069
unknown|unknown	C14H14O9			feruloyl tartaric acid|feruloyl pentoside	326.0780162				11.36706388	NEWT:29760	Vitis vinifera (Grape)										445,753	163,307	74,085	289,130	203,591	359,230	186,211	188,059	141,157	36,350	165,066	255,777	390,715	226,299	217,885	391,062	86,547	200,069	594,607	299,725	376,452	278,829	276,969	191,141	170,661	334,848	280,141
CHEBI:24266	C6H12O7			gluconic acid	195.4506178				2.373776772	NEWT:29760	Vitis vinifera (Grape)										72,613	136,739	15,400	80,588	90,272	104,780	100,392	91,718	357,094	82,565	39,298	48,873	105,217	20,223	49,848	960,533	810,301	39,507	118,233	401,600	144,992	259,277	253,049	369,965	31,064	308,859	127,516
CHEBI:30769	C6H8O7	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	citric acid	191.3153633				3.039115341	NEWT:29760	Vitis vinifera (Grape)										3,206,861	3,136,751	2,951,509	3,430,104	3,603,484	2,654,753	2,394,742	2,459,221	2,143,619	1,303,951	1,222,399	1,276,661	2,472,478	1,382,698	1,311,776	944,465	885,667	1,837,559	4,194,056	3,472,008	3,408,298	3,926,416	3,880,527	3,046,487	1,776,298	2,916,814	3,361,756
CHEBI:6650	C4H6O5	C(C(C(=O)O)O)C(=O)O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	malic acid	133.2694872				2.718607767	NEWT:29760	Vitis vinifera (Grape)										249,418	791,091	354,386	270,345	773,276	814,600	200,348	283,076	399,037	84,418	105,748	131,287	382,312	140,125	133,694	62,091	103,777	182,571	554,943	558,102	539,555	524,763	438,230	307,784	208,232	277,392	524,220
CHEBI:15674	C4H6O6	C(C(C(=O)O)O)(C(=O)O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	tartaric acid	149.345269				2.524475427	NEWT:29760	Vitis vinifera (Grape)										972,928	1,534,180	1,997,435	940,061	1,113,288	771,479	1,349,032	1,657,249	1,248,871	174,636	390,817	354,825	671,836	51,570	162,551	503,016	565,142	1,063,294	2,283,771	1,887,157	1,676,786	1,239,084	1,331,242	820,155	639,073	1,839,244	1,451,987
unknown				ethyl-dihydroxybenzoic acid hexoside (hydroxytyrosol)	315.7507043				4.481458556	NEWT:29760	Vitis vinifera (Grape)										2,119,293	1,685,563	2,562,074	1,949,812	2,070,894	570,085	3,649,386	1,918,919	2,370,575	24,133	51,631	37,797	682,234	92,442	83,530	47,284	52,362	1,321,449	2,660,984	1,627,699	2,713,876	2,013,371	1,833,224	1,685,237	1,336,509	2,466,002	2,017,906
CHEBI:16856	C10H17N3O6S	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	glutathione	306.4423942				3.044537447	NEWT:29760	Vitis vinifera (Grape)										27,876	43,360	44,482	46,401	133,968	96,857	53,891	39,330	59,262	55,830	39,986	37,563	98,224	32,744	34,577	63,415	50,996	100,743	146,071	136,061	136,559	193,132	133,512	122,189	129,873	163,607	122,216
