database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	MN063A	MN063B	MN063C	CS063A	CS063B	CS063C	AM063A	AM063B	AM063C	MN073A	MN073B	MN073C	CS073A	CS073B	CS073C	AM073A	AM073B	AM073C	MN083A	MN083B	MN083C	CS083A	CS083B	CS083C	AM083A	AM083B	AM083C
CHEBI:75708	C31H29O14	COc1cc(cc(O)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=C/c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C31H28O14/c1-41-22-9-15(8-20(35)26(22)37)30-23(12-18-19(34)10-17(33)11-21(18)43-30)44-31-29(40)28(39)27(38)24(45-31)13-42-25(36)7-4-14-2-5-16(32)6-3-14/h2-12,24,27-29,31,38-40H,13H2,1H3,(H4-,32,33,34,35,36,37)/p+1/t24-,27-,28+,29-,31-/m1/s1	petunidin-(coumaroyl)-3-O-glucoside, cis isomer	623.2296347				26.93317316	NEWT:29760	Vitis vinifera (Grape)										62,417	45,405	46,095	42,864	49,048	39,957	53,076	48,592	32,980	115,510	111,064	78,828	42,552	83,004	83,862	81,013	74,281	80,108	60,798	108,722	80,663	76,869	95,946	78,990	104,927	87,060	65,985
CHEBI:75709	C31H29O14	COc1cc(cc(O)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=Cc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C31H28O14/c1-41-22-9-15(8-20(35)26(22)37)30-23(12-18-19(34)10-17(33)11-21(18)43-30)44-31-29(40)28(39)27(38)24(45-31)13-42-25(36)7-4-14-2-5-16(32)6-3-14/h2-12,24,27-29,31,38-40H,13H2,1H3,(H4-,32,33,34,35,36,37)/p+1/t24-,27-,28+,29-,31-/m1/s1	petunidin-(coumaroyl)-3-O-glucoside, trans isomer	623.3810808				28.54420887	NEWT:29760	Vitis vinifera (Grape)										298,318	585,922	598,811	334,080	674,609	1,063,286	428,405	362,146	351,501	1,765,602	1,009,714	970,836	1,014,846	1,192,033	1,129,027	1,544,177	1,595,847	2,182,399	1,334,339	1,393,358	1,734,251	1,042,243	1,027,233	936,406	2,136,604	1,565,509	1,178,616
CHEBI:131449	C23H23O12+	C1=C(C=C(C=2C1=[O+]C(=C(C2)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)COC(=O)C)C4=CC=C(C(=C4)O)O)O)O	InChI=1S/C23H22O12/c1-9(24)32-8-18-19(29)20(30)21(31)23(35-18)34-17-7-12-14(27)5-11(25)6-16(12)33-22(17)10-2-3-13(26)15(28)4-10/h2-7,18-21,23,29-31H,8H2,1H3,(H3-,25,26,27,28)/p+1/t18-,19-,20+,21-,23-/m1/s1	putative cyanidin-(acetyl)-3-O-glucoside	489.6770345				22.22445812	NEWT:29760	Vitis vinifera (Grape)										95,465	118,133	46,456	55,541	25,901	243,184	22,141	17,713	34,193	252,812	43,655	37,930	239,842	39,462	180,560	45,943	93,038	52,166	60,347	49,458	134,504	88,515	33,140	44,675	15,625	57,295	59,672
CHEBI:131451	C30H27O13+	C(OC(/C=CC1=CC=C(C=C1)O)=O)[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O2)OC=3C(C4=CC(=C(O)C=C4)O)=[O+]C5=C(C3)C(=CC(O)=C5)O	InChI=1S/C30H26O13/c31-16-5-1-14(2-6-16)3-8-25(36)40-13-24-26(37)27(38)28(39)30(43-24)42-23-12-18-20(34)10-17(32)11-22(18)41-29(23)15-4-7-19(33)21(35)9-15/h1-12,24,26-28,30,37-39H,13H2,(H4-,31,32,33,34,35,36)/p+1/t24-,26-,27+,28-,30-/m1/s1	putative cyanidin-(coumaroyl)-3-O glucoside, cis isomer	593.3106244				25.19714688	NEWT:29760	Vitis vinifera (Grape)										614,408	584,468	70,667	114,131	66,037	778,971	43,629	58,415	62,776	86,160	87,270	46,725	847,959	68,899	67,423	79,786	83,984	63,118	34,893	70,134	56,449	82,820	67,314	50,516	83,914	78,691	56,300
CHEBI:131452	C32H31O15+	C=1(C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)COC(/C=CC3=CC=C(O)C(=C3)O)=O)=CC4=C([O+]1)C=C(O)C=C4O)C5=CC(=C(O)C(=C5)OC)OC	InChI=1S/C32H30O15/c1-42-22-8-15(9-23(43-2)27(22)38)31-24(12-17-19(35)10-16(33)11-21(17)45-31)46-32-30(41)29(40)28(39)25(47-32)13-44-26(37)6-4-14-3-5-18(34)20(36)7-14/h3-12,25,28-30,32,39-41H,13H2,1-2H3,(H4-,33,34,35,36,37,38)/p+1/t25-,28-,29+,30-,32-/m1/s1	putative malvidin-(caffeoyl)-3-0-glucoside, cis isomer	653.1621784				27.68337518	NEWT:29760	Vitis vinifera (Grape)										44,031	7,429	2,695	95,201	34,531	41,454	65,136	17,858	78,303	40,211	19,296	10,481	42,600	12,120	10,199	18,700	9,090	39,763	69,516	57,316	105,801	116,383	95,929	30,653	29,727	45,962	75,135
CHEBI:131453	C32H31O15+	C=1(C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)COC(/C=C/C3=CC=C(O)C(=C3)O)=O)=CC4=C([O+]1)C=C(O)C=C4O)C5=CC(=C(O)C(=C5)OC)OC	InChI=1S/C32H30O15/c1-42-22-8-15(9-23(43-2)27(22)38)31-24(12-17-19(35)10-16(33)11-21(17)45-31)46-32-30(41)29(40)28(39)25(47-32)13-44-26(37)6-4-14-3-5-18(34)20(36)7-14/h3-12,25,28-30,32,39-41H,13H2,1-2H3,(H4-,33,34,35,36,37,38)/p+1/t25-,28-,29+,30-,32-/m1/s1	putative malvidin-(caffeoyl)-3-O-glucoside, trans isomer	653.2151619				31.28628375	NEWT:29760	Vitis vinifera (Grape)										179,281	164,484	3,142	7,772	5,897	286,079	9,639	4,419	9,159	21,804	20,927	12,796	263,863	15,671	11,403	14,496	16,967	6,139	23,370	2,788	22,009	12,762	21,754	23,354	5,294	19,758	11,745
CHEBI:28426	C21H20O11	OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C21H20O11/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26)/p+1/t16-,17-,18+,19-,21-/m1/s1	cyanidin-3-O-glucoside	447.6587898				14.4414703	NEWT:29760	Vitis vinifera (Grape)										5,374,847	3,819,091	5,358,531	6,081,603	7,166,053	4,295,181	4,183,905	5,355,573	5,607,920	6,469,335	7,004,818	6,637,384	4,187,557	2,150,689	2,040,473	1,957,904	2,085,064	5,060,215	7,522,388	9,601,264	9,289,824	5,157,147	5,322,581	7,315,252	4,827,199	6,478,661	7,219,823
CHEBI:31463	C21H20O12	OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1	delfinidin-3-O-glucoside	463.5592404				12.53230903	NEWT:29760	Vitis vinifera (Grape)										10,617,795	8,977,606	9,970,320	8,640,072	10,542,145	8,348,560	6,259,087	5,036,662	6,877,472	19,996,642	16,368,436	16,239,490	7,964,524	6,914,828	6,762,008	7,082,141	7,160,413	12,995,216	18,138,657	19,422,373	26,204,875	6,131,716	6,399,689	11,596,355	12,719,302	10,764,975	11,992,261
CHEBI:31799	C23H25O12	COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C23H24O12/c1-31-14-3-9(4-15(32-2)18(14)27)22-16(7-11-12(26)5-10(25)6-13(11)33-22)34-23-21(30)20(29)19(28)17(8-24)35-23/h3-7,17,19-21,23-24,28-30H,8H2,1-2H3,(H2-,25,26,27)/p+1/t17-,19-,20+,21-,23-/m1/s1	malvidin-3-O-glucoside	491.6587485				18.02641852	NEWT:29760	Vitis vinifera (Grape)										14,931,973	13,538,132	19,898,915	16,267,421	19,014,517	11,327,230	13,495,206	14,540,669	12,681,088	14,974,995	14,945,251	14,378,759	12,085,164	11,370,534	11,430,256	10,712,230	10,353,389	18,959,675	25,041,825	23,011,505	23,446,862	21,227,796	20,788,449	17,997,810	18,513,455	21,719,177	19,026,568
unknown				peonidin derivative (da positivo)	461.7460483				21.82242413	NEWT:29760	Vitis vinifera (Grape)										64,955	79,539	51,645	96,953	63,489	53,205	183,527	120,714	209,106	23,689	60,133	66,677	60,708	22,466	69,597	68,391	32,631	62,672	125,262	76,551	21,399	228,567	227,104	181,936	62,662	187,228	110,842
